Channel,Minimum,Maximum,Mean,Median,Mode,Skewness,Range,Standard Deviation,Variance
Red,0,255,20.60784912109375,12.0,4,2.1054486398247265,255,22.45564546558139,504.2560132758861
Green,0,255,24.640292543353457,16.0,10,1.7618090532862751,255,22.22529703598055,493.9638283375659
Blue,0,255,21.831687002471,10.0,4,1.6796471408588818,255,26.229604468480193,687.9921505729162
